Name,logTeff,logLum,Mass,logAge,logMass
053509.8-052753,4.294,3.27,18.91,,1.2766915288450398
053509.9-052338,,,,,
053510.0-051457,,,,,
053510.0-051707,,,,,
053510.0-051816,,,,,
053510.0-052004,,,,,
053510.0-052401,,,,,
053510.0-052618,,,,,
053510.1-051931,,,,,
053510.1-052232,,,,,
053510.1-052758,,,,,
053510.2-051719,,,,,
053510.2-051833,,,,,
053510.2-052020,3.502,-0.99,0.19,6.58,-0.721246399047171
053510.2-052157,,,,,
053510.2-052316,,,,,
053510.2-052321,3.633,-0.78,0.72,7.79,-0.14266750356873156
053510.2-052623,,,,,
053510.3-051956,3.479,-0.81,0.15,5.76,-0.8239087409443188
053510.3-052112,3.602,-0.19,0.72,6.44,-0.14266750356873156
053510.3-052259,,,,,
053510.3-052417,,,,,
053510.3-052451,,,,,
053510.3-052903,,,,,
053510.3-053237,,,,,
053510.4-052132,,,,,
053510.4-052134,,,,,
053510.4-052149,,,,,
053510.4-052223,,,,,
053510.4-052245,3.568,0.37,0.46,5.36,-0.3372421683184259
053510.4-052600,,,,,
053510.4-053008,,,,,
053510.5-052003,,,,,
053510.5-052156,3.602,0.09,0.69,6.06,-0.16115090926274472
053510.5-052216,,,,,
053510.5-052244,,,,,
053510.5-052416,,,,,
053510.5-052544,,,,,
053510.5-052618,3.719,0.92,2.34,6.43,0.36921585741014284
053510.5-053143,,,,,
053510.5-053313,3.457,-0.44,0.17,5.21,-0.7695510786217261
053510.6-052256,,,,,
053510.6-052303,,,,,
053510.6-052332,,,,,
053510.7-052220,,,,,
053510.7-052344,3.591,1.09,0.74,3.99,-0.13076828026902382
053510.7-052628,3.502,-0.73,0.21,6.38,-0.6777807052660807
053510.8-051732,,,,,
053510.8-052148,,,,,
053510.8-052240,,,,,
053510.8-052556,,,,,
053510.8-052804,,,,,
053510.9-052224,,,,,
053510.9-052227,,,,,
053510.9-052246,,,,,
053510.9-052448,3.513,-0.4,0.26,6.07,-0.585026652029182
053510.9-052800,3.479,-0.52,0.18,5.71,-0.744727494896694
053510.9-053006,,,,,
053511.0-051521,,,,,
053511.0-052246,,,,,
053511.0-052314,,,,,
053511.1-051935,,,,,
053511.1-052532,,,,,
053511.1-052606,,,,,
053511.1-053459,3.479,-0.29,0.19,5.11,-0.721246399047171
053511.2-051720,3.557,-0.11,0.41,6.01,-0.38721614328026455
053511.2-052237,,,,,
053511.2-052416,,,,,
053511.3-051912,3.557,-0.37,0.41,6.24,-0.38721614328026455
053511.3-052115,,,,,
053511.3-052426,,,,,
053511.3-052438,,,,,
053511.4-051403,3.479,-0.66,0.17,5.88,-0.7695510786217261
053511.4-052144,,,,,
053511.4-052351,,,,,
053511.5-052106,,,,,
053511.5-052340,,,,,
053511.5-052345,,,,,
053511.5-052448,,,,,
053511.5-052459,,,,,
053511.5-052553,,,,,
053511.5-052602,3.679,0.82,2.14,6.07,0.33041377334919086
053511.6-051657,3.766,1.38,2.61,6.45,0.41664050733828095
053511.6-051912,,,,,
053511.6-052251,,,,,
053511.6-052421,3.473,-0.29,0.19,5.11,-0.721246399047171
053511.6-052608,,,,,
053511.6-052729,,,,,
053511.6-053101,,,,,
053511.7-052132,,,,,
053511.7-052155,,,,,
053511.7-052330,,,,,
053511.7-052333,,,,,
053511.7-052340,3.479,-0.12,0.19,4.82,-0.721246399047171
053511.7-052351,,,,,
053511.7-052512,,,,,
053511.7-052730,,,,,
053511.8-051726,,,,,
053511.8-051834,,,,,
053511.8-052100,,,,,
053511.8-052103,,,,,
053511.8-052149,,,,,
053511.8-052403,,,,,
053511.9-051926,3.679,0.72,2.02,6.17,0.3053513694466238
053511.9-052001,,,,,
053511.9-052032,3.679,0.99,2.35,5.91,0.37106786227173627
053511.9-052254,,,,,
053511.9-052303,,,,,
053511.9-052845,,,,,
053511.9-052932,,,,,
053511.9-053155,3.568,0.03,0.27,5.0,-0.5686362358410126
053512.0-051924,3.479,0.42,0.2,2.72,-0.6989700043360187
053512.0-052039,,,,,
053512.0-052808,,,,,
053512.1-052008,,,,,
053512.1-052026,,,,,
053512.1-052433,,,,,
053512.1-052447,,,,,
053512.1-053020,3.454,-0.58,0.13,5.18,-0.8860566476931632
053512.1-053138,3.467,-0.3,0.17,5.0,-0.7695510786217261
053512.2-052045,,,,,
053512.2-052348,3.58,0.05,0.52,5.95,-0.2839966563652008
053512.2-052424,,,,,
053512.2-052456,,,,,
053512.2-052600,,,,,
053512.2-053032,3.568,-0.14,0.46,6.07,-0.3372421683184259
053512.3-052047,,,,,
053512.3-052131,,,,,
053512.3-052241,,,,,
053512.3-052351,,,,,
053512.4-052031,,,,,
053512.4-052403,,,,,
053512.5-051633,,,,,
053512.5-051945,,,,,
053512.5-052301,,,,,
053512.5-052438,,,,,
053512.6-051935,3.524,-1.4,0.22,7.13,-0.6575773191777937
053512.6-052042,3.479,-0.89,0.14,6.07,-0.8538719643217619
053512.6-052204,,,,,
053512.6-052344,3.708,0.99,2.54,6.25,0.40483371661993806
053512.7-051613,3.513,-0.43,0.26,6.2,-0.585026652029182
053512.7-051652,3.602,0.57,0.7,5.62,-0.1549019599857432
053512.7-051927,,,,,
053512.7-052034,3.46,-0.93,0.1,5.59,-1.0
053512.7-052038,3.494,-0.78,0.19,6.26,-0.721246399047171
053512.7-052157,,,,,
053512.7-052254,,,,,
053512.7-052410,,,,,
053512.7-052426,,,,,
053512.7-052710,3.435,-0.62,0.14,5.37,-0.8538719643217619
053512.8-051524,3.602,0.22,0.69,5.92,-0.16115090926274472
053512.8-051548,,,,,
053512.8-052043,3.557,-0.17,0.41,6.06,-0.38721614328026455
053512.8-052105,,,,,
053512.8-052133,,,,,
053512.8-052133b,,,,,
053512.8-052247,,,,,
053512.8-052342,,,,,
053512.8-052351,,,,,
053512.9-052254,,,,,
053512.9-052330,,,,,
053512.9-052354,,,,,
053512.9-052431,,,,,
053512.9-052457,,,,,
053512.9-052849,,,,,
053513.0-051904,,,,,
053513.0-052030,3.623,0.49,0.9,5.79,-0.045757490560675115
053513.0-052153,,,,,
053513.0-052200,3.535,0.05,0.33,5.28,-0.4814860601221125
053513.0-052215,3.479,-0.38,0.19,5.27,-0.721246399047171
053513.0-052253,3.535,-0.44,0.33,6.23,-0.4814860601221125
053513.1-051730,,,,,
053513.1-051809,,,,,
053513.1-052113,3.524,-0.3,0.29,6.03,-0.5376020021010439
053513.1-052221,,,,,
053513.1-052247,,,,,
053513.1-052250,,,,,
053513.1-052452,,,,,
053513.1-052752,3.535,0.18,0.32,5.03,-0.494850021680094
053513.2-052052,3.585,0.05,0.56,5.98,-0.25181197299379954
053513.2-052209,,,,,
053513.2-052254,,,,,
053513.2-052257,,,,,
053513.2-052330,,,,,
053513.2-052355,,,,,
053513.2-052455,3.719,1.04,2.57,6.33,0.4099331233312945
053513.2-052754,3.535,0.18,0.32,5.03,-0.494850021680094
053513.3-052018,3.524,0.17,0.29,4.77,-0.5376020021010439
053513.3-052051,,,,,
053513.3-052226,3.494,-0.56,0.17,5.8,-0.7695510786217261
053513.3-052239,,,,,
053513.3-052353,,,,,
053513.3-052353b,,,,,
053513.3-052817,,,,,
053513.4-051710,3.557,0.37,0.41,4.93,-0.38721614328026455
053513.4-052107,,,,,
053513.4-052340,,,,,
053513.4-053047,3.502,-0.52,0.23,6.27,-0.638272163982407
053513.5-051717,3.513,-0.48,0.26,6.25,-0.585026652029182
053513.5-051745,,,,,
053513.5-051857,,,,,
053513.5-052031,3.535,-0.27,0.33,6.11,-0.4814860601221125
053513.5-052219,3.546,-0.06,0.37,5.8,-0.431798275933005
053513.5-052304,,,,,
053513.5-052330,3.513,-0.33,0.27,5.69,-0.5686362358410126
053513.5-052355,,,,,
053513.5-052359,,,,,
053513.5-052501,,,,,
053513.5-052728,3.513,-0.31,0.27,5.82,-0.5686362358410126
053513.5-052757,,,,,
053513.5-053508,3.557,-0.5,0.4,6.38,-0.3979400086720376
053513.6-051832,,,,,
053513.6-051954,3.643,-0.87,,,
053513.6-052121,3.513,-0.88,0.24,6.54,-0.619788758288394
053513.6-052256,,,,,
053513.6-052345,,,,,
053513.6-052425,3.568,-0.22,0.46,6.15,-0.3372421683184259
053513.6-052846,,,,,
053513.6-053057,3.643,0.47,1.2,6.02,0.07918124604762482
053513.6-053212,,,,,
053513.7-051925,,,,,
053513.7-052135,,,,,
053513.7-052147,,,,,
053513.7-052217,,,,,
053513.7-052221,3.546,0.33,0.36,4.76,-0.44369749923271273
053513.7-052230,,,,,
053513.7-052438,,,,,
053513.7-053454,,,,,
053513.8-052150,,,,,
053513.8-052202,,,,,
053513.8-052206,3.535,0.12,0.33,5.16,-0.4814860601221125
053513.8-052209,,,,,
053513.8-052246,,,,,
053513.8-052407,,,,,
053513.8-052426,,,,,
053513.8-052737,3.491,-0.75,0.19,6.16,-0.721246399047171
053513.8-053024,3.524,-0.4,0.29,6.15,-0.5376020021010439
053513.9-051853,,,,,
053513.9-052123,,,,,
053513.9-052157,,,,,
053513.9-052229,,,,,
053513.9-052231,,,,,
053513.9-052235,,,,,
053513.9-052237,,,,,
053513.9-052320,,,,,
053513.9-052409,,,,,
053513.9-052700,,,,,
053514.0-051848,,,,,
053514.0-051951,3.753,0.57,1.49,7.06,0.17318626841227402
053514.0-052012,,,,,
053514.0-052222,,,,,
053514.0-052236,3.513,0.31,0.26,4.34,-0.585026652029182
053514.0-052313,,,,,
053514.0-052338,3.513,0.22,0.26,4.56,-0.585026652029182
053514.0-052427,,,,,
053514.0-052520,,,,,
053514.0-052550,3.479,-0.77,0.15,5.73,-0.8239087409443188
053514.0-052635,,,,,
053514.1-052357,,,,,
053514.1-052620,,,,,
053514.1-052710,,,,,
053514.2-051427,,,,,
053514.2-051804,,,,,
053514.2-052004,3.491,-0.69,0.19,6.2,-0.721246399047171
053514.2-052154,,,,,
053514.2-052304,,,,,
053514.2-052408,,,,,
