HIP,Teff,e_Teff,log(g),e_log(g),vsini,r_vsini,Ageavg,Agemed,Agemod,Age68lo,Age68up,Age68t,Age95lo,Age95up,Age95t,Age2D,Mavg,Mmed,Mmod,M68lo,M68up,M68t,M95lo,M95up,M95t,M2D,source_id,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,lum_val,lum_percentile_lower,lum_percentile_upper,age_up_diff,age_lo_diff,age_err,mass_up_diff,mass_lo_diff,mass_err,Age,Age_err,logAge,logAge_err,logMass,logMass_err,logTeff,logLum
64184,6612,225,4.24,0.14,,,2131.0,2217.0,2144.0,1585.0,3162.0,68,841.0,5788.0,95,1757.0,1.34,1.37,1.32,1.2,1.4,68,1.1,1.6,95,1.3,6055854551117476480,8.093935,10908686.609197993,3287.202467715628,8.326964,6453118.889834891,3132.0489685765265,7.750792999999999,6374569.6073768735,3561.8244817676546,3.8602726,3.835234,3.8853114,1031.0,546.0,546.0,0.05999999999999983,0.14000000000000012,0.05999999999999983,2131000000.0,546000000.0,9.328583449714202,0.1112739498447562,0.12710479836480765,0.019446021577757485,3.82033284489941,0.5866179742301889
64246,7268,247,4.27,0.14,,,657.0,866.0,1172.0,516.0,1585.0,68,109.0,1939.0,95,405.0,1.49,1.49,1.46,1.4,1.6,68,1.3,1.7,95,1.49,1523092817316419712,5.8349195,87373238.80520913,57584.84967164716,6.0153284000000005,54253013.17585445,80903.23313270412,5.5788054,47124397.58048534,79600.02203842677,12.267348,12.204885,12.329812,928.0,141.0,141.0,0.1100000000000001,0.09000000000000008,0.1100000000000001,657000000.0,141000000.0,8.81756536955978,0.09320475182398553,0.17318626841227402,0.03206200873111257,3.8614149186359965,1.0887506855100781
64310,6632,225,4.38,0.14,,,1583.0,1542.0,1518.0,1265.0,2061.0,62,937.0,2853.0,94,38.0,1.77,1.77,1.8,1.6,2.0,68,1.4,2.2,95,1.29,6141313954902664832,7.880656,13276511.032229131,7335.005306030388,8.12705,7757736.76904071,21455.633263227384,7.530439,7808946.895759078,18681.818350025336,3.1511152,3.1329079,3.1693225,478.0,318.0,318.0,0.22999999999999998,0.16999999999999993,0.22999999999999998,1583000000.0,318000000.0,9.199480914862356,0.08724298499383074,0.24797326636180664,0.05643374623601576,3.821644517542217,0.4984642806128382
64390,6687,227,4.37,0.14,,,1011.0,1238.0,1703.0,613.0,2985.0,68,130.0,4870.0,95,37.0,1.27,1.27,1.27,1.2,1.4,68,1.1,1.4,95,1.31,5843943613492830720,5.795248,90624801.55273566,49036.03414089121,6.038328,53115843.84147558,101006.09892077449,5.465198,52322535.60678845,81858.27313408969,6.218651,6.2013555,6.235946,1974.0,398.0,398.0,0.1299999999999999,0.07000000000000006,0.1299999999999999,1011000000.0,398000000.0,9.004751155591,0.17096854975024153,0.10380372095595687,0.04445534066726196,3.8252313231999002,0.7936961842412066
64407,6346,216,3.85,0.14,,,2923.0,3190.0,3117.0,2239.0,5464.0,68,891.0,7499.0,95,3135.0,1.21,1.2,1.15,1.1,1.3,68,1.0,1.4,95,1.39,3511640513332581504,4.8513236,216180654.5384536,721044.6713213429,5.165326599999999,118692895.40056825,304498.99749047845,4.5275545,124092710.5872322,492932.6588137653,9.101548,9.026483,9.176614,2541.0,684.0,684.0,0.09000000000000008,0.10999999999999988,0.09000000000000008,2923000000.0,684000000.0,9.465828815357437,0.10162758317544449,0.08278537031645007,0.032302895348175785,3.8025000677643934,0.9591152638247269
64453,6959,237,4.31,0.14,,,677.0,866.0,1277.0,436.0,1991.0,68,89.0,2738.0,95,100.0,1.37,1.37,1.35,1.3,1.5,68,1.2,1.5,95,1.41,3716628375973783168,7.28879,22899723.215501767,5515.080838462585,7.496239,13869461.087877918,17456.1170788075,6.991964299999999,12822783.486075524,14718.001668957382,4.970712000000001,4.947352,4.9940724,1314.0,241.0,241.0,0.1299999999999999,0.07000000000000006,0.1299999999999999,677000000.0,241000000.0,8.830588668685145,0.15460113757560365,0.1367205671564068,0.041210425290089545,3.842546836495015,0.696418601112414
64466,10228,348,3.97,0.14,237.0,0.0,341.0,351.0,350.0,320.0,395.0,68,259.0,434.0,95,367.0,2.67,2.65,2.59,2.4,2.8,68,2.3,3.1,95,2.63,5857898924355221376,5.87248,84402308.60546477,39404.826222764335,5.9214535,59152610.88294821,59353.76302887352,5.836027,37184084.47725679,134255.2087428069,,,,54.0,21.0,21.0,0.1299999999999999,0.27,0.1299999999999999,341000000.0,21000000.0,8.532754378992498,0.02674540797644659,0.4265112613645752,0.021145424212517857,4.009790719354298,
64511,6545,223,4.16,0.14,,,2222.0,2441.0,2337.0,1662.0,3585.0,66,729.0,6131.0,95,2322.0,1.3,1.29,1.27,1.2,1.4,68,1.1,1.5,95,1.32,3609064115501251072,7.450352,19733560.41390633,6943.040391193358,7.6994095,11502481.84359188,22307.61273653649,7.102032,11586576.077418027,36724.852171751154,4.4551444,4.425493,4.484796,1363.0,560.0,560.0,0.09999999999999987,0.10000000000000009,0.09999999999999987,2222000000.0,560000000.0,9.34674405460485,0.10945315475509494,0.11394335230683678,0.033407267838711625,3.8159096508867747,0.648861784940091
64527,9112,310,4.31,0.14,118.0,0.0,217.0,268.0,404.0,166.0,566.0,68,38.0,631.0,95,145.0,1.98,1.97,1.94,1.9,2.0,68,1.8,2.2,95,1.94,1688161226683509504,6.5379543,45726143.29697276,16215.335873359389,6.605675,31498157.846402824,82599.79295923267,6.4764996,20614277.57451042,60574.32203531756,,,,349.0,51.0,51.0,0.020000000000000018,0.08000000000000007,0.020000000000000018,217000000.0,51000000.0,8.33645973384853,0.10206921003256147,0.2966651902615311,0.004386812948517699,3.959613711071044,
64597,6476,220,4.37,0.14,,,2829.0,2901.0,2476.0,1890.0,4399.0,68,1334.0,6494.0,95,385.0,1.32,1.31,1.21,1.1,1.4,68,1.1,1.6,95,1.24,6166799019526822272,7.682760000000001,15930977.533159396,5419.352895444237,7.949964,9132078.189467857,26106.08210427055,7.3161783,9512542.327861149,31841.735956029628,4.341387999999999,4.314416400000001,4.36836,1570.0,939.0,939.0,0.07999999999999985,0.21999999999999997,0.07999999999999985,2829000000.0,939000000.0,9.451632947456991,0.14415076652780254,0.1205739312058499,0.026320877691106116,3.811306840081336,0.6376286014869041
